Date,Description,Amount,PaymentMethod
2024-01-01,Starbucks Coffee,150,Card
2024-01-02,Uber Ride,350,UPI
2024-01-03,Grocery Store,2500,Cash
2024-01-04,Netflix Subscription,199,Card
2024-01-05,Electricity Bill,1800,Transfer
2024-01-06,Restaurant Lunch,850,Card
2024-01-07,Fuel,2000,Cash
2024-01-08,Movie Tickets,400,Card
2024-01-09,Gym Membership,500,Card
2024-01-10,Amazon Purchase,1200,Card
2024-01-11,Bus Ticket,50,Cash
2024-01-12,Pharmacy,300,Card
2024-01-13,Pizza Hut Dinner,650,UPI
2024-01-14,Internship Fees,5000,Transfer
2024-01-15,Taxi Ride,450,UPI
2024-01-16,Salon Haircut,400,Cash
2024-01-17,Internet Bill,999,Transfer
2024-01-18,Supermarket,3200,Card
2024-01-19,Spotify Premium,149,Card
2024-01-20,Restaurant Breakfast,500,Card
2024-01-21,Auto Ride,200,UPI
2024-01-22,Book Purchase,450,Card
2024-01-23,Medical Checkup,1500,Card
2024-01-24,Fast Food Lunch,280,Cash
2024-01-25,Parking,200,Cash
2024-01-26,Movie Tickets,600,Card
2024-01-27,Grocery,2300,Card
2024-01-28,Water Bill,500,Transfer
2024-01-29,Restaurant Dinner,1200,UPI
2024-01-30,Gaming Purchase,999,Card
2024-02-01,Starbucks,180,Card
2024-02-02,Uber,400,UPI
2024-02-03,Grocery,2800,Cash
2024-02-04,Fitness Center,1500,Card
2024-02-05,Electricity,1900,Transfer
2024-02-06,Lunch,650,Card
2024-02-07,Petrol,2200,Cash
2024-02-08,Cinema,500,Card
2024-02-09,Gym,500,Card
2024-02-10,Flipkart,1800,Card
2024-02-11,Train Ticket,600,UPI
2024-02-12,Doctor Visit,2000,Card
2024-02-13,Cafe,220,UPI
2024-02-14,Conference Fees,3000,Transfer
2024-02-15,Taxi,500,UPI
2024-02-16,Clothing Store,2500,Card
2024-02-17,Internet,999,Transfer
2024-02-18,Market,2500,Card
2024-02-19,Music App,99,Card
2024-02-20,Breakfast,380,Card
2024-02-21,Autorickshaw,150,UPI
2024-02-22,Stationery,350,Cash
2024-02-23,Health Insurance,5000,Transfer
2024-02-24,Snacks,180,Cash
2024-02-25,Parking,200,Card
2024-02-26,Concert Tickets,1500,Card
2024-02-27,Supermarket,3500,Card
2024-02-28,Gas Bill,450,Transfer
2024-02-29,Dinner,1500,UPI
2024-03-01,Coffee,160,Card
2024-03-02,Uber,380,UPI
2024-03-03,Grocery,2600,Cash
2024-03-04,Course Purchase,4500,Card
2024-03-05,Electricity Bill,1800,Transfer
2024-03-06,Lunch,720,Card
2024-03-07,Diesel,2300,Cash
2024-03-08,Movie,450,Card
2024-03-09,Yoga Class,1000,Card
2024-03-10,Amazon,1600,Card
2024-03-11,Flight Ticket,12000,Card
2024-03-12,Medical,1200,Card
2024-03-13,Restaurant,450,UPI
2024-03-14,Training Workshop,2500,Transfer
2024-03-15,Taxi,520,UPI
2024-03-16,Shoes,2200,Card
2024-03-17,Internet Bill,999,Transfer
2024-03-18,Market,2800,Card
2024-03-19,Subscription Box,599,Card
2024-03-20,Breakfast,410,Card
2024-03-21,Bus Pass,300,UPI
2024-03-22,Books,680,Cash
2024-03-23,Vaccination,500,Card
2024-03-24,Fast Food,320,Cash
2024-03-25,Toll,100,Card
2024-03-26,Gaming,899,Card
2024-03-27,Hypermarket,4000,Card
2024-03-28,Water Charges,600,Transfer
2024-03-29,Fine Dining,2500,UPI
2024-03-30,Software License,3000,Transfer
