Date,Description,Amount,PaymentMethod,Category
2020-01-22,Fuel,9051.5,Transfer,Transportation
2023-01-02,Course Purchase,7432.41,UPI,Education
2022-06-20,Electricity Bill,895.13,Card,Utilities
2022-03-20,Coffee,1408.47,Transfer,Food & Dining
2019-02-25,Restaurant,1563.57,Transfer,Food & Dining
2022-05-13,Movie,244.93,UPI,Entertainment
2020-06-27,Fuel,5010.78,Card,Transportation
2021-07-17,Insurance,1728.96,Card,Food & Dining
2023-10-09,Book Purchase,1195.87,Cash,Entertainment
2021-10-23,Online Shopping,17.97,Card,Shopping
2021-09-23,Coffee,1058.81,UPI,Food & Dining
2021-06-16,Insurance,602.64,Card,Transportation
2021-03-10,Flight Ticket,1837.24,Transfer,Transportation
2021-06-18,Bus,288.28,Transfer,Transportation
2021-10-28,Pharmacy,1903.93,UPI,Health & Medical
2021-08-09,Lunch,15.66,Transfer,Food & Dining
2023-09-06,Online Shopping,53.76,Transfer,Shopping
2020-10-11,Taxi,284.0,Card,Transportation
2021-10-21,Taxi,760.74,Cash,Transportation
2022-10-11,Restaurant,1321.21,Transfer,Food & Dining
2023-12-16,Fuel,1719.42,Transfer,Transportation
2021-04-26,Insurance,552.37,Transfer,Utilities
2020-09-30,Restaurant,374.7,UPI,Food & Dining
2022-08-23,Hotel,1208.29,Transfer,Shopping
2023-09-13,Gym Membership,34.93,Cash,Transportation
2022-10-08,Internet Bill,290.05,Transfer,Utilities
2020-10-14,Parking,199.64,Card,Transportation
2023-04-23,Hotel,422.45,Cash,Shopping
2021-04-20,Fuel,1098.37,UPI,Transportation
2022-05-23,Dinner,116.07,Card,Food & Dining
2024-01-04,Pharmacy,1882.92,Card,Health & Medical
2020-10-03,Pharmacy,1902.67,Transfer,Health & Medical
2021-10-23,Book Purchase,70.72,Card,Entertainment
2023-01-29,Gym Membership,192.88,Transfer,Other
2023-11-08,Bus,974.97,Cash,Transportation
2020-11-01,Subscription,554.15,Transfer,Entertainment
2023-09-20,Grocery,351.78,UPI,Food & Dining
2019-03-25,Course Purchase,909.25,Transfer,Education
2021-07-11,Taxi,1983.02,UPI,Transportation
2021-03-12,Hotel,432.4,Cash,Shopping
2022-10-16,Grocery,1933.97,Cash,Food & Dining
2023-09-24,Internet Bill,1837.17,Transfer,Utilities
